"gwno","event_id_cnty","event_id_no_cnty","date","year","time_precision","event_tax","actor_tax","ally_actor_1","inter1","actor2","ally_actor_2","inter2","interaction","country","admin1","admin2","admin3","location","latitude","longitude","prec_tax","source","notes","fatalities","month","day","spec_id"
475,"2934NIG",48822,2011-02-15,2011,1,"Riots","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"","",0,50,"Nigeria","Borno","Biu","","Biu",10.61285,12.19458,1,"Agence France Presse","The deadly stabbing of a police officer sparked clashes in tense central Nigeria on Tuesday as Muslims commemorated the birth of the Prophet Mohammed. Four people were killed and their bodies set ablaze in the Gada-Biu area.",4,2,15,"A-64"
475,"2937NIG",48825,2011-02-15,2011,1,"Riots","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"","",0,50,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","The deadly stabbing of a police officer sparked clashes in tense central Nigeria on Tuesday as Muslims commemorated the birth of the Prophet Mohammed. The violence in the city of Jos included a gang setting up a roadblock in one neighbourhood, leading to three deaths",3,2,15,"A-65"
475,"2935NIG",48823,2011-02-15,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Military Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen attacked a church Tuesday in northern Nigeria, but it was unclear if there were casualties in the latest such incident in the region where dozens have been killed in recent months. There was an attack on a church around the Gomari area of the city and soldiers stationed there fired back. ",0,2,15,"A-66"
475,"2936NIG",48824,2011-02-15,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Abdulrahman Akano, police commissioner of Plateau state, where Jos is the capital, said ""one anti-bomb squad mobile policeman was stabbed to death"" by local youths.",1,2,15,"A-67"
475,"2938NIG",48826,2011-02-17,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Bauchi","Darazo","","Darazo",10.9938,10.4118,1,"Agence France Presse","Gunmen attacked a police station in Northern Nigeria on Tuesday. Those killed included a civilian at the police station. ",1,2,17,"A-68"
475,"2939NIG",48827,2011-02-19,2011,1,"Violence against civilians","Police Forces of Nigeria (2007-2010)","",1,"Civilians (Nigeria)","",7,17,"Nigeria","Kano","Dambatta","","Dambatta",12.43306,8.51528,1,"Agence France Presse","A man died after being held in police custody, leading to allegations of torture and beatings received by the police. ",1,2,19,"A-69"
475,"2940NIG",48828,2011-02-20,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Kano","Dambatta","","Dambatta",12.43306,8.51528,1,"Agence France Presse","A mob angered by the death of a man who had been in police custody rioted Sunday in a Nigerian town, leaving one person dead after authorities opened fire and three buildings burnt. One rioter was shot dead and two others injured by stray bullets.",2,2,20,"A-70"
475,"2941NIG",48829,2011-02-21,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Labour Party",7,37,"Nigeria","Rivers","Obio/Akp","","Obia",4.8403,7.0408,1,"Reuters","An explosion hit the offices of a Nigerian opposition party in the Niger Delta oil region just before the start of campaigning. Labour Party officials said they had been preparing to go the office for the launch of their local election campaign in Obia, just outside the Bayelsa state capital Yenagoa, when the building was attacked with explosives shortly before dawn.",0,2,21,"A-71"
475,"2942NIG",48830,2011-02-22,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","Muslim Group (Nigeria)",4,"Civilians (Nigeria)","",7,47,"Nigeria","Plateau","Barkin Ladi","","Barkin Ladi",9.53333,8.9,2,"Reuters","Attackers armed with rifles killed 18 people in Bere Reti Fan village in Barkin Ladi central Nigeria. One attacker was among the dead. The attackers were believed to be members of the mostly Muslim Fulani ethnic group. ",18,2,22,"A-72"
475,"2944NIG",48832,2011-02-23,2011,2,"Battle-No change of territory","Fulani Ethnic Militia (Nigeria)","",4,"Tiv Ethnic Militia (Nigeria)","",4,44,"Nigeria","Benue","GwerWest","","Naka",7.5834,8.2055,1,"Vanguard (Nigeria)","36 dead the 10,000 displaced following a clash between Tiv and Fulani militias in Naka. Exact date not known, source dated 25/02/2011.",36,2,23,"A-73"
475,"2943NIG",48831,2011-02-23,2011,2,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","AC: Action Congress ",7,37,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,1,"Vanguard (Nigeria)","Benue State Chairman of Action Congress and the party's publicity secretary narrowly escape death after being attacked and shot at by unknown gunmen in Makurdi. Date vague - source dated 23/02.",0,2,23,"A-74"
475,"2945NIG",48833,2011-02-25,2011,1,"Protests","Rioters (Nigeria)","",5,"Private Security Forces (Nigeria)","PDP: People's Democratic Party",8,58,"Nigeria","Benue","Buruku","","Buruku",7.45961,9.20455,1,"Daily Champion (Lagos)","Security agents attached to the PDP governor of Benue state foiled attempts by ""hoodlums"" to disrupt his campaign rally in Buruku. One injury reported. ",0,2,25,"A-75"
475,"2946NIG",48834,2011-02-26,2011,1,"Battle-No change of territory","Police Forces of Nigeria (2007-2010)","",1,"Boko Haram","",3,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Police said they had shot dead a man financing a radical Islamist sect in northern Nigeria and arrested another man suspected of supplying the group with arms. The man financing the Bokom Haram sect was killed when a shootout broke out during a raid on one of the group's hideouts.",1,2,26,"A-76"
475,"2948NIG",48836,2011-02-28,2011,1,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Reuters","Attackers armed with guns and machetes killed six people in a village in central Nigeria. The attack took place in the early hours outside a science college in a village near Jos, the capital of Plateau state. A lecturer at the college, attended mostly by Christian students, said six people were killed and several more wounded when armed Muslim youths stormed the village.",6,2,28,"A-77"
475,"2947NIG",48835,2011-02-28,2011,1,"Violence against civilians","PDP: People's Democratic Party","",3,"Civilians (Nigeria)","AC: Action Congress ",7,37,"Nigeria","Benue","Katsina ","","Katsina-Ala",7.16667,9.28333,1,"Vanguard (Lagos)","A group of PDP supports attack an AC lawmaker representing the Katsina-Ala/Logo/Ukum constituency while he and his entourage travelled in Katsina-Ala. Though the representative escaped unhurt a AC supporter was killed in the machete attack. ",1,2,28,"A-78"
475,"2949NIG",48837,2011-03-01,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Motor-cycle riding gunmen shot another off-duty policeman along airport road on his way home less than an hour after the first attack.",1,3,1,"A-79"
475,"2950NIG",48838,2011-03-01,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen suspected to belong to Boko Haram went to the residence of an off-duty police inspector where he was sitting with his friend and shot him in the chest and thigh. The officer succeeded in killing one of his assailants before he died.",2,3,1,"A-80"
475,"2951NIG",48839,2011-03-03,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Journalists (Nigeria)",7,37,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,2,"Leadership (Abuja)","Suspected ""political thugs"" attacks a group of journalists travelling with Governor Gabriel Suswam's (PDP) convoy along the Makurdi-Gbajimba State road, near Makurdi. A political oprative and a bus driver were hit with bullets. Though it is unclear if the shots were fatal, Chief Press Secretary to the Benue State Deputy Governor, Mr Ejembi Ogwuche was injured w a bullet  lodged in his head, while two other bullets were lodged in his right hand; driver of the bus had four bullets lodged in his body. One of the bullets was confirmed lodged near his heart, under his left shoulder",0,3,3,"A-81"
475,"2952NIG",48840,2011-03-03,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Reuters","Ten people were killed and 21 injured by an explosive device thrown from a car at an election rally near Nigeria's capital Abuja. The device missed the centre of the ruling People's Democratic Party (PDP) rally in the town of Suleja, on the northwestern edge of Abuja, but landed close to where street traders were working. A second device exploded later when the Niger State Governor's convoy passed by the same spot. ",10,3,3,"A-82"
475,"2953NIG",48841,2011-03-05,2011,2,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","AC: Action Congress ",7,37,"Nigeria","Benue","Oturkpo","","Oturkpo",7.1911,8.1329,1,"Daily Trust (Abuja)","The running mate of the Action Congress of Nigeria (ACN) governorship candidate for Benue State alleged that his Oturkpo GRA residence was attacked by persons suspected to be hired assassins who were on a mission to eliminate him over the weekend. According to the witness, some ACN members were injured by the attackers. ",0,3,5,"A-83"
475,"2954NIG",48842,2011-03-09,2011,2,"Violence against civilians","PDP: People's Democratic Party","",3,"Civilians (Nigeria)","AC: Action Congress ",7,37,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,3,"Leadership (Abuja)","The AC accused the PDP of a kidnapping attempt on a Benue South Senatorial Candidate ""sometime last week."" Source dated 15/03. The location of the attack is not known. It is not clear if the claims were substantiated. ",0,3,9,"A-84"
475,"2955NIG",48843,2011-03-10,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Bauchi","Tafawa-B","","Tafawa Balewa",9.7583,9.5572,1,"Agence France Presse","Reprisal attacks by suspected Muslim ethnic nomads on a Christian farming community in Nigeria on Thursday left several people dead and villages burnt. Among the dead were at least three attackers; and three civilians burnt alive. ",6,3,10,"A-85"
475,"2956NIG",48844,2011-03-13,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen shot and killed a Muslim cleric highly critical of a hardline Islamist sect, in an attack outside his home in Maiduguri. The attackers, who were in a sports utility vehicle, gunned down Ibrahim Abdullahi Bolori outside his house, which is just next to a mosque. The victim had been an outspoken critic of the radical Islamist group known as Boko Haram.",1,3,13,"A-86"
475,"2957NIG",48845,2011-03-13,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Berom Ethnic Group (Nigeria)",7,47,"Nigeria","Plateau","Barkin Ladi","","Barkin Ladi",9.53333,8.9,2,"HRW","Fulani militiamen attack a Berom villiage, killing five of one family. ",5,3,13,"A-87"
475,"2958NIG",48846,2011-03-13,2011,1,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Jos South","","Vom",9.7333,8.7833,2,"Reuters","The attack took place when youths, suspected by police to be Muslims, stormed a Christian village in the outskirts of Plateau's capital Jos. Gohog village was invaded, leaving one dead and 37 cattle rustled.",1,3,13,"A-88"
475,"2959NIG",48847,2011-03-13,2011,1,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Zamfara","Maru","","Kwai",11.2167,6.3833,1,"Reuters","At about 2100 (2000 GMT) armed persons invaded Kai village near Kura Falls and killed five people. The attack took place when youths, suspected by police to be Muslims, stormed a Christian village in the outskirts of Plateau's capital Jos. ",5,3,13,"A-89"
475,"2960NIG",48848,2011-03-15,2011,3,"Violence against civilians","PDP: People's Democratic Party","",3,"Civilians (Nigeria)","AC: Action Congress ",7,37,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,3,"Leadership (Abuja)","The Benue State chapter of the Action Congress of Nigeria (ACN) has accused the People Democratic Party (PDP) of attempting kidnap attempt on its gubernatorial candidate. Date and location not known. It is not clear if these claims were substantiated. ",0,3,15,"A-90"
475,"2962NIG",48850,2011-03-18,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen on Friday shot dead a Muslim cleric in northern Nigeria. Four gunmen knocked on the door of the cleric's home in the city of Maiduguri and shot him in the stomach and thigh. ",1,3,18,"A-91"
475,"2961NIG",48849,2011-03-18,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Nigeria","Benue","Igumale ","","Igumale ",6.79751,7.96515,2,"Vanguard (Lagos)","Gunmen of an opposition party (likely AC, but unknown) in Benue State fire on the convoy of Senate President, Chief David Mark (PDP) while on a campaign tour of Igumale in Benue State. Minor injuries reported. ",0,3,18,"A-92"
475,"2963NIG",48851,2011-03-20,2011,1,"Remote violence","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Reuters","Two men were killed in the central Nigerian city of Jos on Sunday when explosives they were carrying on a motorbike went off, preventing what local residents said was an attempted attack on a Christian community. Christian youths angered by what they took to be an attempted attack by members of the Muslim Hausa-Fulani ethnic group set fire to the corpses of the two men.",2,3,20,"A-93"
475,"2964NIG",48852,2011-03-21,2011,1,"Violence against civilians","Civilians (Nigeria)","CPC: Congress for Progressive Change",7,"Police Forces of Nigeria (1999-2007)","",1,17,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Police fired gunshots and tear gas on Monday to disperse a tense crowd that gathered near the site of a leading opposition candidate's election rally in the volatile Nigerian city of Jos. Crowds of people, mainly youths, had gathered in the road leading to the campaign venue when police fired gunshots in the air to disperse them. Four youths were later reported killed.",4,3,21,"A-94"
475,"2965NIG",48853,2011-03-22,2011,1,"Battle-No change of territory","PDP: People's Democratic Party","",3,"AC: Action Congress ","",3,33,"Nigeria","Akwa Ibom","Ikot-Ekp","","Ikot Ekpene",5.16667,7.71667,1,"BBC Monitoring Africa","Mayhem that engulfed Akwa Ibom State on 22 March as a result of bloody clash between supporters of the People's Democratic Party [PDP] and the opposition Action Congress of Nigeria [ACN] continued, yesterday, as two persons were reported killed in Ikot Ekpene and several others injured when party supporters clashed with soldiers. ",2,3,22,"A-95"
475,"2966NIG",48854,2011-03-27,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","ANPP: All Nigeria People's Party",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Four gunmen suspected to be members of a radical Islamist sect opened fire on a group of party politicians in eastern Nigeria. The attackers shot Modu Gana Makanike, an All Nigerian Peoples Party (ANPP) youth leader, in the chest and head shortly after a political meeting Sunday of party's chieftains in the city of Maiduguri.",1,3,27,"A-96"
475,"2967NIG",48855,2011-03-29,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","ANPP: All Nigeria People's Party",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Islamist sect members on Tuesday opened fire outside of a political rally in northern Nigeria, sparking panic and a stampede that killed at least four people. Three suspected members of Boko Haram fired several shots from their AK-47 rifles from outside the venue, which caused panic and a stampede among party supporters attending the rally. This resulted in the deaths of four people. The attackers slipped away before they could be arrested. ",4,3,29,"A-97"
475,"2968NIG",48856,2011-03-30,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A Muslim cleric critical of a radical Islamic sect in northern Nigeria late Wednesday escaped a bomb attack by suspected Islamists that destroyed his drug store. Two motorcycle-riding suspected members of Boko Haram in the northern city of Maiduguri threw a home-made bomb into the store of Muhammad Mustapha, a druggist and preacher, but he was alerted by neighbours before it could detonate. ",0,3,30,"A-98"
475,"2969NIG",48857,2011-04-01,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","Suspected Islamists have attacked a police station in northern Nigeria with explosives ahead of Saturday's parliamentary vote, injuring two police officers. ",0,4,1,"A-99"
475,"2971NIG",48859,2011-04-02,2011,1,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Borno","Bama","","Bogoro",11.7066,14.2377,1,"Agence France Presse","A group of attackers stormed three predominately Christian farming villages in the Bogoro area, killing at least two people and setting several houses on fire. ",2,4,2,"A-100"
475,"2970NIG",48858,2011-04-02,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Nigeria","Benue","Gboko","","Adekaa",7.344,8.9998,1,"Daily Trust (Abuja)","The political associate of a PDP lawmaker is shot and killed in Adekaa. ",1,4,2,"A-101"
475,"2972NIG",48860,2011-04-03,2011,1,"Protests","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"","",0,50,"Nigeria","Sokoto","Wamakko","","Sokoto",13.05139,5.23139,1,"Agence France Presse","The alleged desecration of the Koran set off rioting in a northern Nigerian city, with crowds burning tyres and threatening to kill the man believed responsible. Hundreds poured into the streets of the ancient city of Sokoto, the heartland of Islam in Nigeria, on Sunday following the arrest of a Muslim man believed to be suffering from a mental illness.",0,4,3,"A-102"
475,"2974NIG",48862,2011-04-05,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Journalists (Nigeria)",7,37,"Nigeria","Nassarawa","Lafia","","Lafia",8.4833,8.5167,1,"U.S. Department of State - Human Rights Report","Prior to national assembly elections, unknown assailants attacked Daily Trust correspondent Joseph Hir outside his home in Lafia, Nasarawa State. He previously had written an article criticizing politicians.  The extent of the victim's injuries are not known. ",0,4,5,"A-103"
475,"2973NIG",48861,2011-04-05,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Labour Party",7,37,"Nigeria","Bayelsa","Yenegoa","","Yenagoa",4.92472,6.26417,1,"Agence France Presse","Attackers threw dynamite into a guesthouse in the southern Nigerian oil city of Yenagoa owned by Labour Party opposition candidate in upcoming parliamentary elections, but nobody was seriously injured.",0,4,5,"A-104"
475,"2975NIG",48863,2011-04-06,2011,1,"Battle-No change of territory","PDP: People's Democratic Party","",3,"AP: Action Party ","",3,33,"Nigeria","Oyo","IbadanNorth-West","","Ibadan",7.38778,3.89639,1,"BBC Monitoring Africa","Two persons were feared dead in Ibadan yesterday while 22 others sustained injuries as pandemonium broke out at the Araromi/Gate motor dealers market when some suspected hoodlums believed to be supporters of the ruling PDP clashed with AP supporters. ",2,4,6,"A-105"
475,"2976NIG",48864,2011-04-07,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Kaduna","Kaduna South","","Kaduna ",10.52306,7.44028,1,"Agence France Presse","An explosive went off as two men sought to move it to another location in a northern Nigerian city, killing one of them and wounding the other in an incident ahead of elections. ",1,4,7,"A-106"
475,"2978NIG",48866,2011-04-08,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Nigeria","Borno","Shani","","Shani",10.2162,12.062,1,"Reuters","Gunmen shot dead four people in northeastern Nigeria, including a ruling party official, as they prepared to distribute election materials on Friday. The attack happened at a police station in Shani in Borno state and the victims included the local government secretary of the ruling People's Democratic Party. ",4,4,8,"A-107"
475,"2977NIG",48865,2011-04-08,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","INEC: Independent National Electoral Commission",1,13,"Nigeria","Borno","Shani","","Shani",10.2162,12.062,1,"Agence France Presse","Gunmen attacked a police station on Friday where electoral officials were collecting poll materials in northeastern Nigeria, killing four people on the eve of parliamentary elections. ",4,4,8,"A-108"
475,"2981NIG",48869,2011-04-09,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Kwara","IlorinWe","","Ilorin",8.5,4.55,1,"BBC Monitoring Africa","About 23 suspected political thugs were arrested by the men of the state police command during the just concluded national assembly poll in Kwara state.",0,4,9,"A-109"
475,"2979NIG",48867,2011-04-09,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","INEC: Independent National Electoral Commission",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Retuers","An separate explosion hit the NUJ press centre in Maiduguri, with injuries but no reports of deaths. ",0,4,9,"A-110"
475,"2980NIG",48868,2011-04-09,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","INEC: Independent National Electoral Commission",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Retuers","An explosion hit a polling booth in a neighbourhood of the northeast Nigerian city of Maiduguri during a parliamentary election on Saturday. One person was killed. ",1,4,9,"A-111"
475,"2983NIG",48871,2011-04-09,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Oyo","Ogbomosho North","","Orogun",8.15,4.2833,1,"BBC Monitoring Africa","Angry youths reportedly burnt a vehicle at Orogun allegedly used by hoodlums to make away with snatched electoral materials belonging to the Independent National Electoral Commission (INEC) with one of the suspected thieves reportedly lynched by the mob.",1,4,9,"A-112"
475,"2982NIG",48870,2011-04-09,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Unidentified Armed Group (Nigeria)","",3,33,"Nigeria","Osun","Ejigbo","","Isoko",7.91667,4.28333,1,"BBC Monitoring Africa","Police confirmed the death of two persons in Ndokwa West Local Government Area during reported clashes between supporters of two rival parties in the area.",2,4,9,"A-113"
475,"2984NIG",48872,2011-04-12,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.08,7.53,1,"Leadership (Abuja)","Several people, including canidates protest the result of an election at at the headquarters of the Independent National Electoral Commission.",0,4,12,"A-114"
475,"2985NIG",48873,2011-04-12,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Government of Nigeria (2010-)",7,37,"Nigeria","Nassarawa","Toto","","Toto",8.37889,7.08444,1,"Leadership (Abuja)","A group of youths held a Toto LGA election officer hostage at the area government headquarters after a election result was declared favouring the PDP. The party allegiance of the hostage takers is not known. ",0,4,12,"A-115"
475,"2989NIG",48877,2011-04-15,2011,3,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria)",7,47,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,3,"HRW","Fulani leaders said at least 350 rural Fulani in the southern part of the state were killed in the violence. Fatalities put to 19 to reach the 827 fatality total cited by Human Rights Watch.",19,4,15,"A-116"
475,"2988NIG",48876,2011-04-15,2011,3,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,3,"HRW","A group of Muslim men attack a northern Kaduna State Christian villiage (unnamed), killing two and destroying homes. Date unknown - souce dates April 2011.",2,4,15,"A-117"
475,"2986NIG",48874,2011-04-15,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","INEC: Independent National Electoral Commission",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Late Friday, a bomb exploded near a vote collating centre in Maiduguri, but no deaths were reported. ",0,4,15,"A-118"
475,"2987NIG",48875,2011-04-15,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"BBC Monitoring Africa","An unidentified gunman today shot dead two people in Maiduguri metropolis. Seven persons were also injured in the attack, among them were two military officers. ",2,4,15,"A-119"
475,"2991NIG",48879,2011-04-16,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"BBC Monitoring Africa","Violent protests marred some parts of Nyanya on Saturday night as results of the presidential poll trickled in. No fewer than 20 cars were said to have been smashed in the incident.",0,4,16,"A-120"
475,"2990NIG",48878,2011-04-16,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","An explosion hit Maiduguri as Nigerians prepared to go to polls; no reports of casualties yet. ",0,4,16,"A-121"
475,"2992NIG",48880,2011-04-16,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Kaduna","Kaduna South","","Kabala",10.5,7.4333,1,"Agence France Presse","An explosion rocked a hotel in the northern Nigerian city of Kaduna on Saturday as voting in crucial presidential elections wrapped up, but it was unclear if there were casualties. ",0,4,16,"A-122"
475,"2996NIG",48884,2011-04-17,2011,1,"Violence against civilians","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"Civilians (Nigeria)","PDP: People's Democratic Party",7,57,"Nigeria","Kaduna","Kaduna South","","Kaduna ",10.52306,7.44028,1,"Agence France Presse","Rioting by CPC supporters hit parts of Nigeria's north overnight as President Goodluck Jonathan headed for a first-round victory in the country's elections. Allegations of vote rigging led to street riots in parts of the states of Kaduna, where residents said the homes of ruling party figures had been attacked and gunshots were heard. In addition, the homes of supporters were also attacked by the mobs - youths armed with clubs and machetes were targeting people who did not look like they were indigenous to the north (those in the country's north typically support Buhuri, the challenger). Police and military later clashed with the rioters, dispersing many with tear gas and live ammonisation. Causalities not known. ",0,4,17,"A-123"
475,"2997NIG",48885,2011-04-17,2011,1,"Violence against civilians","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"Civilians (Nigeria)","PDP: People's Democratic Party",7,57,"Nigeria","Sokoto","Wamakko","","Sokoto",13.05139,5.23139,1,"Agence France Presse","Rioting by CPC supporters hit parts of Nigeria's north overnight as President Goodluck Jonathan headed for a first-round victory in the country's elections. Allegations of vote rigging led to street riots in parts of the states of Kaduna and Sokoto. Sultan of Sokoto, who voiced support for the PDP President, has had his safty called into question during the rioting as marauders have targetes PDP supporters in nearby cities. ",0,4,17,"A-124"
475,"2993NIG",48881,2011-04-17,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Adamawa","Numan","","Bali village",9.3,11.8,1,"BBC Monitoring Africa","Buildings were burnt as rioters took over the streets in protest at the impending victory of Goodluck Jonathon in Bauchi and Gombe states.",0,4,17,"A-125"
475,"2998NIG",48886,2011-04-17,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Taraba","Gassol","","Gassol",8.5333,10.4667,1,"BBC Monitoring Africa","Rioting in Jalingo was dispersed by teargas by police, but spilled over to neighbouring towns of Bali, Gassol and Mutum-Biyu where fighting took place between party supporters and two people were killed. ",0,4,17,"A-126"
